15:43:30.791 -> 
15:43:30.791 -> 
15:43:30.791 -> DATA:
15:43:30.791 -> 6, 13200, 64, 4096, 1, 13200, 0, 0, 
15:43:30.837 -> Delay to allow time for flashing
15:43:42.706 -> Sent Control Bit to reader 
15:50:38.949 -> 64255, 58426, 60631, 40831, 61011, 60741, 40845, 62457, 60811, 40845, 63337, 60861, 40831, 63911, 60915, 40831, 64315, 60971, 40830, 64594, 61026, 40832, 64812, 61095, 40836, 64973, 61142, 40835, 65088, 61174, 0, -75
15:50:39.183 -> 40862, 65208, 61219, 40880, 65400, 61249, 40885, 65409, 61260, 40893, 65425, 61274, 40902, 65440, 61280, 40908, 65454, 61279, 40917, 65465, 61276, 40923, 65485, 61278, 40937, 65485, 61277, 40941, 65486, 61272, 1, -75
15:50:39.418 -> 40949, 65486, 61270, 40955, 65494, 61264, 40960, 65494, 61260, 40963, 65494, 61254, 40967, 65494, 61246, 40969, 65505, 61232, 40968, 65504, 61218, 40950, 65505, 61218, 40948, 65505, 61242, 40945, 65504, 61270, 2, -75
15:50:39.649 -> 40943, 65504, 61306, 40943, 65516, 61343, 40938, 65516, 61365, 40945, 65516, 61383, 40974, 65516, 61406, 40978, 65515, 61412, 40981, 65516, 61419, 40984, 65516, 61429, 40996, 65526, 61437, 41003, 65515, 61442, 3, -75
15:50:39.884 -> 41012, 65526, 61445, 41018, 65526, 61446, 41023, 65526, 61447, 41029, 65526, 61454, 41035, 65526, 61445, 41038, 65526, 61440, 41039, 65526, 61440, 41043, 65526, 61440, 41050, 65526, 61441, 41053, 65526, 61442, 4, -75
15:50:40.118 -> 41043, 65526, 61447, 41030, 65526, 61471, 41024, 65526, 61509, 41021, 65526, 61552, 41021, 65526, 61587, 41018, 65526, 61615, 41012, 65526, 61626, 41025, 65526, 61629, 41050, 65535, 61657, 41053, 65535, 61668, 5, -75
15:50:40.305 -> 41055, 65526, 61680, 41062, 65526, 61693, 41068, 65535, 61700, 41074, 65526, 61703, 41087, 65535, 61708, 41086, 65526, 61709, 41089, 65535, 61707, 41096, 65526, 61704, 41101, 65535, 61713, 41107, 65535, 61715, 6, -75
15:50:40.542 -> 41108, 65535, 61718, 41111, 65535, 61717, 41111, 65535, 61714, 41112, 65535, 61707, 41104, 65526, 61709, 41087, 65526, 61733, 41084, 65535, 61770, 41082, 65535, 61802, 41077, 65535, 61840, 41074, 65535, 61856, 7, -74
15:50:40.777 -> 41076, 65535, 61858, 41100, 65535, 61871, 41110, 65535, 61883, 41113, 65535, 61891, 41116, 65535, 61897, 41123, 65535, 61902, 41128, 65535, 61900, 41134, 65535, 61898, 41135, 65535, 61902, 41147, 65535, 61903, 8, -75
15:50:41.012 -> 41153, 0, 61900, 41156, 65535, 61897, 41160, 65535, 61890, 41163, 65535, 61884, 41166, 65535, 61878, 41168, 65535, 61864, 41165, 0, 61846, 41160, 65535, 61832, 41143, 65526, 61840, 41142, 65535, 61867, 9, -75
15:50:41.246 -> 41137, 65535, 61896, 41134, 65535, 61928, 41134, 65535, 61953, 41129, 65535, 61964, 41134, 65535, 61968, 41159, 65535, 61978, 41159, 0, 61981, 41162, 65535, 61981, 41166, 65535, 61983, 41176, 65535, 61984, 10, -74
15:50:41.483 -> 41182, 65535, 61980, 41189, 65535, 61974, 41193, 65535, 61965, 41197, 0, 61955, 41202, 65535, 61946, 41208, 0, 61930, 41209, 0, 61913, 41209, 65535, 61899, 41213, 65535, 61881, 41216, 65535, 61870, 11, -74
15:50:41.670 -> 41218, 65535, 61851, 41203, 65535, 61843, 41190, 65535, 61856, 41185, 0, 61876, 41181, 65535, 61901, 41186, 65535, 61928, 41174, 0, 61940, 41170, 65535, 61944, 41191, 65535, 61946, 41205, 0, 61964, 12, -75
15:50:41.901 -> 41209, 65535, 61963, 41211, 65535, 61958, 41217, 0, 61954, 41222, 65535, 61945, 41228, 65535, 61933, 41236, 65535, 61918, 41238, 65535, 61901, 41241, 0, 61881, 41247, 65535, 61858, 41247, 0, 61847, 13, -75
